term,tf
유명,13
스마트폰,13
착용,13
지문,13
누적,13
아이돌,13
세력,13
클라우드,13
태양,13
후일담,13
전당포,13
에너지,13
동방,13
어처구니,12
인형,12
단편,12
아이러니,12
환상,12
과대평가,12
대포,12
부모,12
감흥,12
주말,12
광산,12
꼼수,12
구조물,12
장막,12
그중,12
용어,12
발아,12
투명,12
기동,12
대원,12
개수,12
구성은,12
처치,12
재탕,12
무덤,12
속도감,12
팽이,12
재고,12
사시,12
개똥,12
업무,12
사유,12
사거리,12
보병,12
점령,12
출현,12
돼지,12
보지,12
우울,12
스릴,12
가게,12
도끼,12
소수,12
수수께끼,12
디아블로,12
식당,12
페이퍼,12
오류로,12
배달,12
구도,12
추리물,12
여왕,12
아버지,12
영문,12
채팅,12
토론,12
심부름,12
발목,12
짜임새,12
명성,12
물자,12
스테미너,12
생산량,12
허공,12
외적,12
곤충,12
망자,12
근거리,12
코일,12
설계도,12
일주일,12
복도,12
상인,12
기물,12
가상,12
정원,12
별점,12
세기,12
패러디,12
회전,12
외전,12
오프닝,12
전문가,12
그린,12
항구,12
정부,12
부산,12
투석기,12
연우,12
피랍,12
칼질,11
하나라,11
국내,11
기쁨,11
킬링,11
답변,11
소비자,11
뒤통수,11
사막,11
냉동,11
관리자,11
도박,11
신규,11
목적지,11
안개,11
탈것,11
건축물,11
신체,11
로컬,11
최신,11
공주,11
레전드,11
날림,11
생략,11
글씨,11
조선,11
표정,11
불안,11
실시간,11
전술,11
고문,11
대치,11
저희,11
인내심,11
이자,11
가입,11
차로,11
화만,11
맥락,11
별도,11
채광,11
김치,11
스택,11
선사,11
머릿속,11
실화,11
지라,11
자료,11
브랜드,11
적정,11
대지,11
생선,11
동영상,11
말도,11
도적,11
출근,11
신청,11
불만족,11
생태계,11
신뢰,11
미사일,11
확장팩,11
경매장,11
탄약,11
비트,11
방어력,11
존댓말,11
저도,11
비행,11
이입,11
엘리베이터,11
풀이,11
미스,11
니어,11
여주,11
전력,11
스케쥴,11
감각,11
기름,11
연장,11
선박,11
하차,11
엔터,11
요정,11
정서,11
강도,11
아이콘,11
캐스팅,11
계약,11
과욕,11
구별,11
어른,11
도발,11
번들,11
모닥불,11
심플,11
리스트,11
일괄,11
엑스트라,11
마그나,11
적재,11
작년,10
스스로,10
결혼,10
자판기,10
신이,10
어쩌라고,10
중인,10
외국인,10
기만,10
클리커,10
강종,10
합금,10
천지,10
수직,10
디아,10
오역,10
착각,10
하고,10
빨간색,10
전이,10
각인,10
금지,10
리그,10
챔피언,10
한쪽,10
기기,10
사가,10
부팅,10
걷기,10
일직선,10
가짓수,10
로드맵,10
유니크,10
학살,10
정체성,10
건전,10
표식,10
고대,10
진실,10
경매,10
닌텐도,10
난리,10
보고,10
요원,10
물량,10
아냐,10
공방,10
패배,10
특전,10
위키,10
수용,10
일쑤,10
양이,10
껍데기,10
건강,10
버티고,10
제조,10
아아,10
이슈,10
감당,10
붕괴,10
안남,10
자세,10
구라,10
인성,10
돌진,10
용두사미,10
침대,10
검증,10
내성,10
아저씨,10
내용물,10
보면,10
캐슬,10
치중,10
영구,10
파이,10
서양,10
맞춤법,10
내면,10
사이트,10
반말,10
대형,10
트리거,10
화폐,10
암시,10
날개,10
자식,10
다만,10
다임,10
곳도,10
연료,10
정착지,10
직후,10
교체,10
원숭이,10
라스트,10
협박,10
정비,10
심시티,10
격투,10
스트리밍,10
분기점,10
방사능,10
아이들,10
최초,10
천국,10
연주,10
케이스,10
채용,10
변신,10
사운드트랙,10
레이드,10
창문,10
아마추어,10
숨은그림찾기,10
텐트,10
사라,10
수사,10
자물쇠,10
논리,10
성벽,10
지시,10
증거물,10
암호,10
영입,9
거절,9
게임패드,9
여자친구,9
목장,9
베스트,9
안감,9
우선순위,9
신화,9
극찬,9
분해,9
정시,9
정책,9
남이,9
가축,9
구동,9
유리,9
이사,9
나기,9
마이너,9
제정신,9
파고,9
천재,9
파란색,9
트리가,9
삽질,9
스타트,9
